score,count
0,1540
1,1670
2,1790
3,1670
4,1970
5,1830
6,1570
7,1980
8,2010
9,1600
10,1820
11,2080
12,1900
13,2240
14,1920
15,1800
16,1820
17,1780
18,1710
19,2200
20,2000
21,2130
22,2310
23,1820
24,1880
25,1370
26,1770
27,1520
28,2050
29,2060
30,1960
31,2240
32,1940
33,2130
34,2300
35,2110
36,1770
37,2100
38,1550
39,2000
40,1590
41,1660
42,1920
43,2160
44,1770
45,1960
46,2050
47,1850
48,2060
49,2320
50,2650
51,2010
52,2310
53,2120
54,1970
55,1960
56,1370
57,1870
58,1490
59,2070
60,1570
61,2060
62,1580
63,2220
64,1800
65,2200
66,1710
67,2100
68,1480
69,2460
70,1870
71,2400
72,2070
73,2420
74,1780
75,2650
76,1960
77,2570
78,2170
79,1580
80,1790
81,1720
82,1740
83,2090
84,1770
85,1840
86,2180
87,1590
88,1770
89,2350
90,1470
91,1620
92,2380
93,1670
94,1850
95,2480
96,1880
97,2030
98,2120
99,1880
100,1770
101,2800
102,1820
103,1790
104,2400
105,1790
106,1810
107,2850
108,2030
109,1970
110,2870
111,1990
112,2090
113,1140
114,1980
115,1250
116,1940
117,2230
118,1360
119,1990
120,1470
121,2060
122,2180
123,1330
124,2290
125,1620
126,2250
127,2220
128,1300
129,2130
130,1460
131,2270
132,2180
133,1660
134,2420
135,1530
136,2190
137,2620
138,1680
139,2540
140,1670
141,2380
142,2400
143,1420
144,2370
145,1760
146,2380
147,2290
148,1750
149,2400
150,1780
151,2550
152,2600
153,1640
154,1760
155,1930
156,1600
157,2500
158,1690
159,1830
160,1730
161,1850
162,1850
163,1870
164,1810
165,2180
166,1740
167,1910
168,1780
169,1740
170,1780
171,1790
172,2740
173,1760
174,1820
175,1980
176,2010
177,1950
178,1730
179,1880
180,2010
181,2070
182,1960
183,1990
184,1890
185,1870
186,1820
187,2620
188,1940
189,2240
190,1930
191,2190
192,1920
193,2050
194,2060
195,2050
196,2040
197,2160
198,2120
199,1960
200,1930
201,2180
202,2000
203,2950
204,2090
205,2190
206,2000
207,2080
208,1100
209,2170
210,2130
211,970
212,2120
213,2140
214,1280
215,2120
216,2110
217,1130
218,2250
219,1970
220,980
221,2030
222,2370
223,1260
224,2170
225,2300
226,880
227,2160
228,2450
229,1210
230,2350
231,2220
232,1050
233,2180
234,2300
235,1270
236,1990
237,2360
238,1250
239,2210
240,2350
241,1170
242,2290
243,2470
244,1110
245,2480
246,2450
247,2050
248,1160
249,2250
250,2290
251,1180
252,2410
253,2210
254,1090
255,2210
256,1940
257,1000
258,2410
259,2380
260,960
261,2680
262,2130
263,1300
264,2480
265,2360
266,1420
267,2460
268,2240
269,1120
270,2210
271,2390
272,1300
273,2500
274,1440
275,2400
276,1420
277,1310
278,2560
279,1200
280,2460
281,1330
282,1170
283,2620
284,1150
285,1200
286,2530
287,1470
288,2640
289,1120
290,1230
291,2560
292,1270
293,1170
294,2670
295,1190
296,2300
297,1190
298,1360
299,2670
300,1360
301,2510
302,1220
303,1300
304,2870
305,1080
306,1220
307,2490
308,1450
309,2470
310,1320
311,1410
312,2850
313,1290
314,2570
315,1260
316,1290
317,2410
318,1240
319,1310
320,2530
321,1330
322,2850
323,1130
324,1490
325,2690
326,1260
327,2760
328,1290
329,1180
